berth_id,wharf_name,berth_no,berth_name,ownership_prefix,length_m,quay_structure,water_depth_m,water_depth_is_range,capacity_value,capacity_unit,capacity_suspect,unload_value,unload_unit,handling_cargo_name,operator_name,address,built_year,built_by,quay_length_raw,water_depth_raw,capacity_raw,unload_raw,port_code,spec_source,concurrent_vessels,port_name,note,name_source,length_basis
자동차부두-1선석,자동차부두,1.0,자동차부두1선석,,,잔교식,11.5,False,40000.0,DWT,False,9425.0,천 톤,차량 및 부품,현대자동차,"울산광역시 동구 방어동 1178, 1181~2번지 일원",1987.0,국가,830m(잔교식),11.5m,"40,000DWT / 1척","9,425천 톤",PORT0000000060,UPA_WEB,,,,UPA_API,WHARF_TOTAL
자동차부두-2선석,자동차부두,2.0,자동차부두2선석,,,잔교식,11.5,False,40000.0,DWT,False,9425.0,천 톤,차량 및 부품,현대자동차,"울산광역시 동구 방어동 1178, 1181~2번지 일원",1987.0,국가,830m(잔교식),11.5m,"40,000DWT / 1척","9,425천 톤",PORT0000000061,UPA_WEB,,,,UPA_API,WHARF_TOTAL
자동차부두-3선석,자동차부두,3.0,자동차부두3선석,,,잔교식,11.5,False,40000.0,DWT,False,9425.0,천 톤,차량 및 부품,현대자동차,"울산광역시 동구 방어동 1178, 1181~2번지 일원",1996.0,국가,830m(잔교식),11.5m,"40,000DWT / 1척","9,425천 톤",PORT0000000062,UPA_WEB,,,,UPA_API,WHARF_TOTAL
OTK1부두-1선석,OTK1부두,1.0,OTK1부두1선석,,,돌핀,11.0,False,,DWT,False,965.0,천 톤,"화학공업생산품,석유정제품 등",오드펠터미널코리아,울산광역시 울주군 온산읍 처용리 수역,1991.0,민간,391m(돌핀),11m,"40,000DWT / 1척20,000DWT / 1척",965천 톤,PORT0000000063,UPA_WEB,,,,UPA_API,WHARF_TOTAL
OTK1부두-2선석,OTK1부두,2.0,OTK1부두2선석,,,돌핀,11.0,False,,DWT,False,965.0,천 톤,"화학공업생산품,석유정제품 등",오드펠터미널코리아,울산광역시 울주군 온산읍 처용리 수역,1991.0,민간,391m(돌핀),11m,"40,000DWT / 1척20,000DWT / 1척",965천 톤,PORT0000000064,UPA_WEB,,,,UPA_API,WHARF_TOTAL
OTK2부두-1선석,OTK2부두,1.0,OTK2부두1선석,,,돌핀,9.0,False,10000.0,DWT,False,1859.0,천 톤,화학공업생산품,오드펠터미널코리아,울산광역시 울주군 온산읍 처용리 수역,1991.0,민간,275m(돌핀),9m,"10,000DWT / 2척","1,859천 톤",PORT0000000065,UPA_WEB,,,,UPA_API,WHARF_TOTAL
OTK2부두-2선석,OTK2부두,2.0,OTK2부두2선석,,,돌핀,9.0,False,10000.0,DWT,False,1859.0,천 톤,화학공업생산품,오드펠터미널코리아,울산광역시 울주군 온산읍 처용리 수역,1991.0,민간,275m(돌핀),9m,"10,000DWT / 2척","1,859천 톤",PORT0000000066,UPA_WEB,,,,UPA_API,WHARF_TOTAL
S-Oil 1부두-1선석,S-Oil 1부두,1.0,S-Oil 1부두1선석,,,돌핀,11.0,False,,DWT,False,,,"화학공업생산품,석유정제품 등",S-OIL,울산광역시 울주군 온산읍 산암리 수역,1980.0,민간,280m(돌핀),11m,"50,000DWT / 1척20,000DWT / 1척",,PORT0000000067,UPA_WEB,,,,UPA_API,WHARF_TOTAL
S-Oil 1부두-2선석,S-Oil 1부두,2.0,S-Oil 1부두2선석,,,돌핀,11.0,False,,DWT,False,,,"50,000DWT / 1척20,000DWT / 1척",S-OIL,울산광역시 울주군 온산읍 산암리 수역,1980.0,민간,280m(돌핀),11m,"50,000DWT / 1척20,000DWT / 1척",,PORT0000000068,UPA_WEB,,,,UPA_API,WHARF_TOTAL
S-Oil 2부두-1선석,S-Oil 2부두,1.0,S-Oil 2부두1선석,,,돌핀,15.5,False,,DWT,False,,,"화학공업생산품,석유정제품 등",S-OIL,울산광역시 울주군 온산읍 산암리 수역,1991.0,민간,340m(돌핀),15.5m,"120,000DWT / 1척15,000DWT / 1척5,000DWT / 1척",,PORT0000000069,UPA_WEB,,,,UPA_API,WHARF_TOTAL
S-Oil 2부두-2선석,S-Oil 2부두,2.0,S-Oil 2부두2선석,,,돌핀,15.5,False,,m,True,,,"화학공업생산품,석유정제품 등",S-OIL,울산광역시 울주군 온산읍 산암리 수역,1991.0,민간,340m(돌핀),15.5m,15.5m,,PORT0000000070,UPA_WEB,,,,UPA_API,WHARF_TOTAL
S-Oil 2부두-3선석,S-Oil 2부두,3.0,S-Oil 2부두3선석,,,돌핀,15.5,False,,DWT,False,,,"화학공업생산품,석유정제품 등",S-OIL,울산광역시 울주군 온산읍 산암리 수역,1997.0,민간,340m(돌핀),15.5m,"120,000DWT / 1척15,000DWT / 1척5,000DWT / 1척",,PORT0000000071,UPA_WEB,,,,UPA_API,WHARF_TOTAL
S-Oil 3부두-1선석,S-Oil 3부두,1.0,S-Oil 3부두1선석,,,돌핀,14.0,False,,DWT,False,,,"50,000DWT / 1척10,000DWT / 1척",S-OIL,울산광역시 울주군 온산읍 방도리 수역,2009.0,민간,280m(돌핀),14m,"50,000DWT / 1척10,000DWT / 1척",,PORT0000000072,UPA_WEB,,,,UPA_API,WHARF_TOTAL
S-Oil 3부두-2선석,S-Oil 3부두,2.0,S-Oil 3부두2선석,,,돌핀,14.0,False,,DWT,False,,,"50,000DWT / 1척10,000DWT / 1척",S-OIL,울산광역시 울주군 온산읍 방도리 수역,2009.0,민간,280m(돌핀),14m,"50,000DWT / 1척10,000DWT / 1척",,PORT0000000073,UPA_WEB,,,,UPA_API,WHARF_TOTAL
S-Oil부이,S-Oil부이,,S-Oil 신부이,,,,27.0,False,350000.0,DWT,False,,,"350,000DWT / 1기",S-OIL,울산광역시 울주군 온산읍 해상,1980.0,민간,,27m,"350,000DWT / 1기",,PORT0000000074,UPA_WEB,,,,UPA_API,
UTK부두-1선석,UTK부두,1.0,UTK부두1선석,,240.0,중력식,12.0,False,,DWT,False,2363.0,천 톤,"화학공업생산품,석유정제품 등",유나이티드터미널코리아,울산광역시 울주군 온산읍 처용리 수역,2009.0,민간,240m(중력식),12m,"30,000DWT / 1척8,000DWT / 1척","2,363천 톤",PORT0000000075,UPA_WEB,,,,UPA_API,BERTH
