port_code,seq,list_name,list_address,list_operator,list_built_year,port_gubun,부두/선석명,소재지,준공년도,준공주체,안벽길이,수심,접안능력,하역능력,운영사,주요취급화물,fetched_at_utc
PORT0000000063,63,OTK1부두1선석,울산광역시 울주군 온산읍 처용리 수역,오드펠터미널코리아,1991,온산항,OTK1부두1선석,울산광역시 울주군 온산읍 처용리 수역,1991,민간,391m(돌핀),11m,"40,000DWT / 1척20,000DWT / 1척",965천 톤,오드펠터미널코리아,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000064,64,OTK1부두2선석,울산광역시 울주군 온산읍 처용리 수역,오드펠터미널코리아,1991,온산항,OTK1부두2선석,울산광역시 울주군 온산읍 처용리 수역,1991,민간,391m(돌핀),11m,"40,000DWT / 1척20,000DWT / 1척",965천 톤,오드펠터미널코리아,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000065,65,OTK2부두1선석,울산광역시 울주군 온산읍 처용리 수역,오드펠터미널코리아,1991,온산항,OTK2부두1선석,울산광역시 울주군 온산읍 처용리 수역,1991,민간,275m(돌핀),9m,"10,000DWT / 2척","1,859천 톤",오드펠터미널코리아,화학공업생산품,2026-09-19T13:59:08.119569+00:00
PORT0000000066,66,OTK2부두2선석,울산광역시 울주군 온산읍 처용리 수역,오드펠터미널코리아,1991,온산항,OTK2부두2선석,울산광역시 울주군 온산읍 처용리 수역,1991,민간,275m(돌핀),9m,"10,000DWT / 2척","1,859천 톤",오드펠터미널코리아,화학공업생산품,2026-09-19T13:59:08.119569+00:00
PORT0000000067,67,S-Oil 1부두1선석,울산광역시 울주군 온산읍 산암리 수역,S-OIL,1980,온산항,S-Oil 1부두1선석,울산광역시 울주군 온산읍 산암리 수역,1980,민간,280m(돌핀),11m,"50,000DWT / 1척20,000DWT / 1척",,S-OIL,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000068,68,S-Oil 1부두2선석,울산광역시 울주군 온산읍 산암리 수역,S-OIL,1980,온산항,S-Oil 1부두2선석,울산광역시 울주군 온산읍 산암리 수역,1980,민간,280m(돌핀),11m,"50,000DWT / 1척20,000DWT / 1척",,S-OIL,"50,000DWT / 1척20,000DWT / 1척",2026-09-19T13:59:08.119569+00:00
PORT0000000069,69,S-Oil 2부두1선석,울산광역시 울주군 온산읍 산암리 수역,S-OIL,1991,온산항,S-Oil 2부두1선석,울산광역시 울주군 온산읍 산암리 수역,1991,민간,340m(돌핀),15.5m,"120,000DWT / 1척15,000DWT / 1척5,000DWT / 1척",,S-OIL,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000070,70,S-Oil 2부두2선석,울산광역시 울주군 온산읍 산암리 수역,S-OIL,1991,온산항,S-Oil 2부두2선석,울산광역시 울주군 온산읍 산암리 수역,1991,민간,340m(돌핀),15.5m,15.5m,,S-OIL,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000071,71,S-Oil 2부두3선석,울산광역시 울주군 온산읍 산암리 수역,S-OIL,1997,온산항,S-Oil 2부두3선석,울산광역시 울주군 온산읍 산암리 수역,1997,민간,340m(돌핀),15.5m,"120,000DWT / 1척15,000DWT / 1척5,000DWT / 1척",,S-OIL,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000072,72,S-Oil 3부두1선석,울산광역시 울주군 온산읍 방도리 수역,S-OIL,2009,온산항,S-Oil 3부두1선석,울산광역시 울주군 온산읍 방도리 수역,2009,민간,280m(돌핀),14m,"50,000DWT / 1척10,000DWT / 1척",,S-OIL,"50,000DWT / 1척10,000DWT / 1척",2026-09-19T13:59:08.119569+00:00
PORT0000000073,73,S-Oil 3부두2선석,울산광역시 울주군 온산읍 방도리 수역,S-OIL,2009,온산항,S-Oil 3부두2선석,울산광역시 울주군 온산읍 방도리 수역,2009,민간,280m(돌핀),14m,"50,000DWT / 1척10,000DWT / 1척",,S-OIL,"50,000DWT / 1척10,000DWT / 1척",2026-09-19T13:59:08.119569+00:00
PORT0000000074,74,S-Oil 신부이,울산광역시 울주군 온산읍 해상,S-OIL,1980,온산항,S-Oil 신부이,울산광역시 울주군 온산읍 해상,1980,민간,,27m,"350,000DWT / 1기",,S-OIL,"350,000DWT / 1기",2026-09-19T13:59:08.119569+00:00
PORT0000000075,75,UTK부두1선석,울산광역시 울주군 온산읍 처용리 수역,유나이티드터미널코리아,2009,온산항,UTK부두1선석,울산광역시 울주군 온산읍 처용리 수역,2009,민간,240m(중력식),12m,"30,000DWT / 1척8,000DWT / 1척","2,363천 톤",유나이티드터미널코리아,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000076,76,UTK부두2선석,울산광역시 울주군 온산읍 처용리 수역,유나이티드터미널코리아,2009,온산항,UTK부두2선석,울산광역시 울주군 온산읍 처용리 수역,2009,민간,246m(돌핀),12m,"30,000DWT / 1척8,000DWT / 1척","2,363천 톤",유나이티드터미널코리아,"화학공업생산품,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000077,77,달포부두1선석,"울산광역시 울주군 온산읍 산암리 150-7번지, 320번지, 321-1번지",울산항만공사,2002,온산항,달포부두1선석,"울산광역시 울주군 온산읍 산암리 150-7번지, 320번지, 321-1번지",2002,국가,325m(중력식),7m,"3,000DWT / 2척",,울산항만공사,"조선기자재,규사 등",2026-09-19T13:59:08.119569+00:00
